timestamp,author_channel_id,display_name,message_text,message_type,super_chat_amount,video_offset_sec
2026-05-04T14:05:00.036Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,Miracle can always happen (cope),textMessageEvent,,1152.855
2026-05-04T14:05:08.839Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,the Chance for FNC is 30/70 xd,textMessageEvent,,1161.581
2026-05-04T14:05:40.202Z,UCMW2OtfGn37HMZO5DY3vbFA,@nabiljaelani4547,lol,textMessageEvent,,1192.997
2026-05-04T14:05:42.430Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,It depend on their winning and 2 very strong team lose,textMessageEvent,,1195.197
2026-05-04T14:07:48.661Z,UCmlfQwWFRjb5Hj35Yc5WKVQ,@h.kaanmuku6259,wtf is this song,textMessageEvent,,1321.361
2026-05-04T14:08:16.878Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,1349.831
2026-05-04T14:08:22.579Z,UCeIsH7hUKF3C8oCdO1_Uo1A,@rafaelworndl8391,"the 2 strong Team will win, If they Play the Last week they will lose 0/2 If they Play Like vs g2 they have a chance",textMessageEvent,,1355.367
2026-05-04T14:08:31.012Z,UCLagHuCAKZD5gEhVKWhIpSQ,@efesians,My FNC has fallen 🫩,textMessageEvent,,1363.754
2026-05-04T14:10:05.206Z,UCD4eRhZKkramvE1x7FAdqkA,@thaisonang1968,MKOI international is problematic but in LEC they are different beast SHFT not going to beat them,textMessageEvent,,1457.975
2026-05-04T14:19:40.824Z,UCP49I-uFsqmcVGj0qVjkSjA,@yassinebadaoui2048,can't wait to see fnc throwing again xd,textMessageEvent,,2033.569
2026-05-04T14:20:17.930Z,UCJV4Yd1sR5midaNXcKvBYEg,@V1C0vv,they won't have anything to throw xD,textMessageEvent,,2070.661
2026-05-04T14:21:27.903Z,UCU1exaX1_kyizRe7R9jJGiQ,@Caio-d3i,i'm bad at this game,textMessageEvent,,2140.613
2026-05-04T14:22:12.640Z,UCHOY7RhGKUxUUsTAT37dSDw,@สิดาภรณ์จีบสุวรรณ,2-0,textMessageEvent,,2185.389
2026-05-04T14:22:58.342Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,I only hope FNC don't explode,textMessageEvent,,2231.17
2026-05-04T14:23:25.464Z,UCUyqe75PeUPw12PRzH50plQ,@SpiritdragonR,Amazing music,textMessageEvent,,2258.156
2026-05-04T14:24:12.141Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,2304.864
2026-05-04T14:26:25.995Z,UC3_7c_55oF-T-QR6wGqlXKw,@DannOnTheLand,FNC lose MKOI win and that's it right? 6 playoff teams decided?,textMessageEvent,,2438.778
2026-05-04T14:27:09.054Z,UCpx76wi-3fwSgWkaLbFMD1Q,@RudyRex,is this the type of music EU listens to? ,textMessageEvent,,2481.851
2026-05-04T14:27:33.369Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@RudyRex yes bro this is a banger haha jk ,textMessageEvent,,2506.072
2026-05-04T14:28:21.397Z,UCI2nI0Jaq5jPRkANKx4YiuA,@MrNarutofreak100,@RudyRex they use same music for lec and lcs mong,textMessageEvent,,2554.135
2026-05-04T14:28:35.778Z,UC19h6R7sbFugRDFFdS5-f6A,@Baldeehh,I like bears,textMessageEvent,,2568.549
2026-05-04T14:28:43.753Z,UCDV_iKA9CVpPE-0jjj0ksVQ,@benjaminnaylor2935,I like turtles,textMessageEvent,,2576.435
2026-05-04T14:29:06.824Z,UCDV_iKA9CVpPE-0jjj0ksVQ,@benjaminnaylor2935,it will be VIT 2-0 top gap,textMessageEvent,,2599.594
2026-05-04T14:29:16.668Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@benjaminnaylor2935 ninja turtles ? ,textMessageEvent,,2609.401
2026-05-04T14:30:15.420Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,textMessageEvent,,2668.213
2026-05-04T14:30:36.480Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,textMessageEvent,,2689.362
2026-05-04T14:30:54.494Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",textMessageEvent,,2707.195
2026-05-04T14:31:38.501Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,SLY is an appropriate team name because they played and discarded FNC from the competition,textMessageEvent,,2751.202
2026-05-04T14:31:49.352Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,*badum tss,textMessageEvent,,2762.099
2026-05-04T14:32:05.584Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,2778.392
2026-05-04T14:32:31.944Z,UC6sXuGtNWQtUFKP7tOeEKWQ,@seanjug,!casters,textMessageEvent,,2804.697
2026-05-04T14:32:34.304Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Medic is your host for today! Dagda and Odoamne are on the analyst desk. Your casters will be Hysterics and Vedius.,textMessageEvent,,2807.11
2026-05-04T14:32:48.884Z,UC6sXuGtNWQtUFKP7tOeEKWQ,@seanjug,damn a medic host,textMessageEvent,,2821.621
2026-05-04T14:32:49.019Z,UCYSGbhMj5SrCPNJqgoxiYGQ,@konradkozio8623,Who is WORSE FNC or SK? ,textMessageEvent,,2821.763
2026-05-04T14:33:49.049Z,UC1MTU5uAp8ExpsVqQfSfOtg,@pleasecallmestupid7543,FNC,textMessageEvent,,2881.721
2026-05-04T14:36:09.634Z,UCR8sHt4VnBEC8mLw0pC9hxg,@Matt-kd8xx,Shift,textMessageEvent,,3022.392
2026-05-04T14:37:43.649Z,UCaMyraAWrKtXI3BW-LsYTxQ,@ElxCriiO,lr>shft,textMessageEvent,,3116.384
2026-05-04T14:38:23.466Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,hmmm,textMessageEvent,,3156.329
2026-05-04T14:38:40.399Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,the first series is a battle to the bottom and the second one is a father and son bonding session,textMessageEvent,,3173.196
2026-05-04T14:39:06.033Z,UCFdoOrkN_kCUnmJJ7hKZdEw,@martinkaradjov6153,"Fnc then now forever, FNC win as usual",textMessageEvent,,3198.759
2026-05-04T14:39:06.770Z,UC9RHcwC22YAi5BSYr42XbNw,@Sonjanyah,oh I'm too early be back later,textMessageEvent,,3199.563
2026-05-04T14:39:16.350Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,wait no both series are father and son bonding session I forgot FNC has been woeful recently sadeg,textMessageEvent,,3209.27
2026-05-04T14:39:36.956Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,@Sonjanyah yeah I'm here to look at the baby goat ad,textMessageEvent,,3229.664
2026-05-04T14:39:56.159Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,WHERE IS MY BABY GOAT,textMessageEvent,,3249.169
2026-05-04T14:40:16.148Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,3268.884
2026-05-04T14:40:59.150Z,UCiV9ZvQxBLOTf3gvGFk2bSw,@SiddharthPrabhu1983,MOAN CHAIR,textMessageEvent,,3311.876
2026-05-04T14:42:09.977Z,UCIsvt1Kc9U2CbcQyEf-D44g,@Huddison,Did I miss Moan Chair?,textMessageEvent,,3382.711
2026-05-04T14:42:22.161Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,yea with a seconds ,textMessageEvent,,3394.906
2026-05-04T14:42:31.482Z,UCIsvt1Kc9U2CbcQyEf-D44g,@Huddison, ,textMessageEvent,,3404.216
2026-05-04T14:42:37.438Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,yea you did ,textMessageEvent,,3410.266
2026-05-04T14:42:41.714Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,and they goosed me out of babygoat,textMessageEvent,,3414.498
2026-05-04T14:43:45.342Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,somehow their poses remind me of the ragebait monkey meme LOL ,textMessageEvent,,3478.063
2026-05-04T14:43:48.045Z,UCVwJ86nVeHMEXsaG-wC7RAw,@NightcorePiika,@Sha0wMan1 chef how you doin?,textMessageEvent,,3480.777
2026-05-04T14:43:53.176Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,the one where the lion is screaming at a monkey ,textMessageEvent,,3485.909
2026-05-04T14:44:07.650Z,UCGYVfGuOHpzXINv91N-gSDg,@Sha0wMan1,@NightcorePiika working haha wbu ,textMessageEvent,,3500.428
2026-05-04T14:45:11.611Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",textMessageEvent,,3564.409
