timestamp,author_channel_id,display_name,message_text,message_type,super_chat_amount,video_offset_sec
2026-05-02T13:46:52.641Z,UCRW-u9pyKpypEmjKKmvO_6A,@EMPtraxis,Looks like this is gonna be target practice for teams that have already made it to playoffs.,textMessageEvent,,65.444
2026-05-02T13:48:56.241Z,UCUaoe_b7_H7S1hN25er99eA,@georathor8814,if fnc goes 0-2 this week its byebye playoffs ? or still a chance ?,textMessageEvent,,188.985
2026-05-02T13:49:34.666Z,UCYw246cyLEB3GprEEUBs2rw,@KILLERMIKE-1,wsp,textMessageEvent,,227.565
2026-05-02T13:50:26.812Z,UCTJYD_exfZg8UVjn80ROLqQ,@limeyman.,i like league saturdays,textMessageEvent,,279.644
2026-05-02T13:50:49.903Z,UCTJYD_exfZg8UVjn80ROLqQ,@limeyman.,lck into lpl into lec into lcs :D,textMessageEvent,,302.712
2026-05-02T13:51:48.989Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Yeep it a full day of league!,textMessageEvent,,361.771
2026-05-02T13:51:53.473Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,How are you doing chat,textMessageEvent,,366.204
2026-05-02T13:52:23.912Z,UCUaoe_b7_H7S1hN25er99eA,@georathor8814,0-2 or 2-0 this week ,textMessageEvent,,396.689
2026-05-02T13:52:55.066Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,FNC are bacially out already. They've lost to all the teams above them except G2. So their only hope is G2 losing every game,textMessageEvent,,427.909
2026-05-02T13:53:18.226Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,basically*,textMessageEvent,,450.959
2026-05-02T13:56:04.896Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,617.623
2026-05-02T13:59:56.263Z,UCPBVhSTaXBCshmafBcdpQew,@ablebob,Morning!,textMessageEvent,,849.081
2026-05-02T14:00:49.084Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Good morning!,textMessageEvent,,901.948
2026-05-02T14:01:06.716Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,textMessageEvent,,919.41
2026-05-02T14:01:26.788Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,textMessageEvent,,939.565
2026-05-02T14:01:36.683Z,UCAAgn1-4KlF4Fo6rPKw6Amw,@KrazyCouch2,LEC YIPPEE,textMessageEvent,,949.384
2026-05-02T14:01:45.266Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,958.038
2026-05-02T14:01:48.092Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Woohoo!,textMessageEvent,,960.864
2026-05-02T14:01:55.193Z,UCZQdWmyZDIUCSaRnSltFY9g,@edrianealvarez8387,lec is still alive?,textMessageEvent,,967.99
2026-05-02T14:02:02.629Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",textMessageEvent,,975.471
2026-05-02T14:02:05.606Z,UCnxZfBBYzH9aHYQaFZGkx5g,@d3tto252,what music is this??,textMessageEvent,,978.426
2026-05-02T14:02:26.575Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,!playlist,textMessageEvent,,999.323
2026-05-02T14:02:34.611Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Here is a playlist we cropped up for you ;) https://open.spotify.com/playlist/3Hd...,textMessageEvent,,1007.423
2026-05-02T14:02:38.941Z,UCnxZfBBYzH9aHYQaFZGkx5g,@d3tto252,!playlist,textMessageEvent,,1011.721
2026-05-02T14:03:00.219Z,UCnxZfBBYzH9aHYQaFZGkx5g,@d3tto252,thanks :),textMessageEvent,,1033.019
2026-05-02T14:03:04.658Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,xdd bot a bit low today,textMessageEvent,,1037.409
2026-05-02T14:03:11.326Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,no worries @d3tto252 ,textMessageEvent,,1044.208
2026-05-02T14:03:32.372Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,HELL YEAH!,textMessageEvent,,1065.106
2026-05-02T14:03:34.879Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,#LEC,textMessageEvent,,1067.613
2026-05-02T14:03:43.459Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,yoo Nathan!,textMessageEvent,,1076.161
2026-05-02T14:03:50.860Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@Metrean00 Heya Met!!! Great To See You!!!!!,textMessageEvent,,1083.665
2026-05-02T14:04:13.236Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Same goes for you too! You been doing well?,textMessageEvent,,1106.042
2026-05-02T14:04:39.081Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,Always Bro! I hope you and yours are doing fantastic?,textMessageEvent,,1131.777
2026-05-02T14:05:00.954Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Yeeep! Always glad to be here :D,textMessageEvent,,1153.685
2026-05-02T14:05:18.804Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661, Mods    - You guys ALL rock!!,textMessageEvent,,1171.719
2026-05-02T14:05:30.440Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00, Tyty,textMessageEvent,,1183.395
2026-05-02T14:06:17.487Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,So Who ya rooting for? A Lot of LEC is just so darn competitive - Hard to see any team taking over - Even G2,textMessageEvent,,1230.263
2026-05-02T14:06:51.864Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,Im going FNC and VIT for today. Hbu?,textMessageEvent,,1264.784
2026-05-02T14:07:34.549Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,Always gotta cheer for the boys in Orange and Black even if it ain't looking too hot.,textMessageEvent,,1307.396
2026-05-02T14:07:42.487Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,@edenkr Please keep it in English  ,textMessageEvent,,1315.183
2026-05-02T14:08:02.877Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",textMessageEvent,,1335.813
2026-05-02T14:08:12.311Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,@EnoVZero That is true,textMessageEvent,,1345.053
2026-05-02T14:08:36.539Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,The miracle run to Worlds this year is going to be legendary,textMessageEvent,,1369.359
2026-05-02T14:08:58.216Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,If it actually happens it would be an insane comeback for the team,textMessageEvent,,1390.95
2026-05-02T14:09:04.805Z,UCPBVhSTaXBCshmafBcdpQew,@ablebob,Hope FNC start to pop off more. They have the potential.,textMessageEvent,,1397.614
2026-05-02T14:09:20.658Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,"They better, Worlds is like 2 hours from my house this year lol",textMessageEvent,,1413.552
2026-05-02T14:09:29.709Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,@Metrean00 I definitely am looking with a Hairy Eye Ball  at FNC but Im leaning SK - SK and VIT are going to be a banger Im thinking - Theres a high likelihood of 6 games today IMO,textMessageEvent,,1422.52
2026-05-02T14:10:03.733Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,I would love 6 games today,textMessageEvent,,1456.485
2026-05-02T14:10:08.766Z,UCPBVhSTaXBCshmafBcdpQew,@ablebob,I hope your right. A long day of league is a good day.,textMessageEvent,,1461.624
2026-05-02T14:10:29.515Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,@EnoVZero So you going then?,textMessageEvent,,1482.218
2026-05-02T14:10:53.478Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,"Yeah, I'm going to as many days as I possibly can. Already took the time off work for it haha",textMessageEvent,,1506.453
2026-05-02T14:11:13.290Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661, 6 Games Please  ,textMessageEvent,,1526.2
2026-05-02T14:12:01.599Z,UCB0uPg2GtQ1KbDb2tXdhejg,@Metrean00,@EnoVZero Huge! Congrats then! I will say im a bit jealous hahah,textMessageEvent,,1574.372
2026-05-02T14:12:08.791Z,UCy8nCuu1OrW6cHFI1rfHXRw,@khalidaabdelnaser8842,hello guys wish u all doing well,textMessageEvent,,1581.556
2026-05-02T14:12:37.156Z,UCPBVhSTaXBCshmafBcdpQew,@ablebob,Hi,textMessageEvent,,1610.025
2026-05-02T14:12:40.642Z,UCy8nCuu1OrW6cHFI1rfHXRw,@khalidaabdelnaser8842,May I ask if it's top 6 or 8 make the playoffs?,textMessageEvent,,1613.53
2026-05-02T14:12:41.422Z,UCNS_KbfUR18aGV_ZvLgWqxw,@michaelgray4552,Fnc lose ,textMessageEvent,,1614.298
2026-05-02T14:12:48.080Z,UCdGz3AsSfwwLHOd0GET9A9A,@KingofTaoProductions,Top 6,textMessageEvent,,1621.063
2026-05-02T14:13:00.976Z,UCdGz3AsSfwwLHOd0GET9A9A,@KingofTaoProductions,also quick question do you think Medic wants the LEC back?,textMessageEvent,,1633.73
2026-05-02T14:13:03.418Z,UC60105tcEJaAeiOhRq-fUgQ,@WindMill-cn6lc,TSM WONNERED?,textMessageEvent,,1636.213
2026-05-02T14:14:08.042Z,UCy8nCuu1OrW6cHFI1rfHXRw,@khalidaabdelnaser8842,everytime I see fnatic fall short it ignites my hate for g2 for stealing caps,textMessageEvent,,1700.823
2026-05-02T14:14:12.234Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,I just hope Fnatic is there XD I'd be a little bummed if this is the year they fail to make it,textMessageEvent,,1705.013
2026-05-02T14:14:35.403Z,UC3DPmZzc1b8jb5nmpB9v1QQ,@EnoVZero,You're so real for that,textMessageEvent,,1728.215
2026-05-02T14:15:07.846Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",textMessageEvent,,1760.563
